City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,esperance,AU,75.2,-33.8667,121.9,Hospitality Esperance
6,souillac,MU,77.0,-20.5167,57.5167,Shanti Maurice Resort & Spa
7,bubaque,GW,78.19,11.2833,-15.8333,"Casa Dora, Bubaque"
9,corowa,AU,75.99,-36.0333,146.3833,Statesman Motor Inn
14,kavieng,PG,81.66,-2.5744,150.7967,Nusa Island Retreat
16,isangel,VU,79.12,-19.55,169.2667,Volcano Sea View Tree House
17,avarua,CK,80.6,-21.2078,-159.775,Paradise Inn
19,kupang,ID,86.0,-10.1667,123.5833,Hotel On The Rock by Prasanthi
20,busselton,AU,82.0,-33.65,115.3333,Observatory Guest House
22,charters towers,AU,88.66,-20.1,146.2667,Cattleman's Rest Motor Inn
25,bambous virieux,MU,77.0,-20.3428,57.7575,Casa Tia Villa
28,vaini,TO,77.0,-21.2,-175.2,Keleti Beach Resort
35,rikitea,PF,80.15,-23.1203,-134.9692,Pension Maro'i
46,puerto colombia,CO,77.0,10.9878,-74.9547,Hotel El Emigrante
49,garissa,KE,79.83,-0.4536,39.6401,Sharif Plaza Hotel
50,mandurah,AU,82.99,-32.55,115.7,Atrium Hotel Mandurah
52,bengkulu,ID,85.71,-3.8004,102.2655,Grage Hotel Bengkulu
59,jiangyou,CN,76.05,31.7667,104.7167,Shangping Shuyuan Inn
68,poum,NC,80.28,-20.2333,164.0167,Gîte kajeon
70,tamandare,BR,76.32,-8.7597,-35.1047,Pousada 100 Passos
71,ambilobe,MG,83.93,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
73,mount isa,AU,86.0,-20.7333,139.5,ibis Styles Mt Isa Verona
75,tual,ID,83.77,-5.6667,132.75,Grand Vilia Hotel
78,wenzhou,CN,78.01,27.9994,120.6668,温州喜来登酒店
81,puerto escondido,MX,80.6,15.85,-97.0667,Aldea del Bazar Hotel and Spa
83,porto novo,BJ,78.8,6.4965,2.6036,Tour Eiffel Hotel Benin
85,puerto ayora,EC,75.0,-0.7393,-90.3518,Finch Bay Galapagos Hotel
87,monrovia,LR,75.2,6.3005,-10.7969,Sunset Inn
88,cap malheureux,MU,77.0,-19.9842,57.6142,Pereybere Hotel & Spa
95,arraial do cabo,BR,75.94,-22.9661,-42.0278,Pousada Porto Praia
101,butaritari,KI,81.21,3.0707,172.7902,Isles Sunset Lodge
106,wajir,KE,78.39,1.7471,40.0573,Al-bustan Hotel And Restaurant.
