City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
2,pandaria,IN,75.67,22.2333,81.4167,"SC,ST Hostel,Samrupara"
7,cabedelo,BR,87.8,-6.9811,-34.8339,Hotel Pigalle
10,liku,ID,76.28,-0.7275,119.8922,Agoes Liverpool
13,maumere,ID,80.22,-8.6199,122.2111,Sylvia Hotel
16,tumpat,MY,80.6,6.1978,102.171,Baan Tanyong B&B
18,sisophon,KH,82.35,13.5859,102.9737,Pyramid Hotel
23,arawa,PG,76.14,-6.2132,155.5367,Coastline Guest House
27,atuona,PF,79.74,-9.8,-139.0333,Villa Enata
28,cidreira,BR,79.65,-30.1811,-50.2056,Hotel Castelo
32,ramshir,IR,77.0,30.8946,49.4092,معصومه مهدیان
36,puerto maldonado,PE,86.0,-12.6,-69.1833,Wasai Hotel
41,avarua,CK,78.8,-21.2078,-159.775,Paradise Inn
42,arraial do cabo,BR,89.6,-22.9661,-42.0278,Pousada Porto Praia
45,butaritari,KI,81.3,3.0707,172.7902,Isles Sunset Lodge
46,saldanha,ZA,75.2,-33.0117,17.9442,Blue Bay Lodge
47,vao,NC,76.51,-22.6667,167.4833,Hotel Kou-Bugny
51,mareeba,AU,77.0,-17.0,145.4333,Trinity Plains Tourist Park
52,caravelas,BR,86.09,-17.7125,-39.2481,Pousada dos Navegantes
60,mahebourg,MU,77.0,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
64,bambous virieux,MU,77.0,-20.3428,57.7575,Casa Tia Villa
67,padang,ID,77.0,-0.9492,100.3543,Mercure Padang
72,chuy,UY,75.7,-33.6971,-53.4616,Nuevo Hotel Plaza
73,merauke,ID,75.63,-8.4667,140.3333,PC
77,kasongo,CD,79.65,-4.45,26.6667,Guest Hôtel
82,riyadh,SA,77.0,24.6877,46.7219,InterContinental Riyadh
83,hithadhoo,MV,84.63,-0.6,73.0833,Scoop Guest House
92,saint-philippe,RE,80.6,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
95,east london,ZA,75.2,-33.0153,27.9116,Tu Casa
99,rikitea,PF,79.83,-23.1203,-134.9692,Pension Maro'i
102,lorengau,PG,80.51,-2.0226,147.2712,Lorengau Harbourside Hotel
105,mangrol,IN,79.29,21.1167,70.1167,Hotel The Royal Honours
107,bengkulu,ID,77.81,-3.8004,102.2655,Grage Hotel Bengkulu
110,puerto ayora,EC,82.4,-0.7393,-90.3518,Finch Bay Galapagos Hotel
113,amarante,BR,83.68,-6.2411,-42.8547,Hotel Pousada Velho Monge
116,pitimbu,BR,87.8,-7.4706,-34.8086,Reserva do Abiaí
121,celestun,MX,80.98,20.8667,-90.4,Posada Lilia
122,mar del plata,AR,77.0,-38.0023,-57.5575,Gran Hotel Mar del Plata
125,inhambane,MZ,86.0,-23.865,35.3833,Oceano
126,sao joao da barra,BR,87.8,-21.6403,-41.0511,Pousada Porto De Canoas
128,hervey bay,AU,78.01,-25.2986,152.8535,Shelly Bay Resort
129,kuala perlis,MY,84.2,6.4,100.1333,D'View Hotel & Guest Houses
130,vila do maio,CV,82.4,15.1333,-23.2167,Residence 'I Delfini'
132,pisco,PE,77.0,-13.7,-76.2167,Hotel San Isidro Oficial
134,dicabisagan,PH,75.6,17.0818,122.4157,Nancy Montanes Bernardo
141,quatre cocos,MU,77.0,-20.2078,57.7625,Emeraude Beach Attitude Hotel
148,namatanai,PG,78.37,-3.6667,152.4333,Namatanai Hotel
150,salinopolis,BR,83.3,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
152,rio grande,BR,78.8,-32.035,-52.0986,Hotel Atlântico Rio Grande
153,salalah,OM,78.8,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
154,touros,BR,87.8,-5.1989,-35.4608,INN NEW HORIZON
156,araouane,ML,88.39,18.9048,-3.5265,Hotels
157,parana,AR,90.0,-31.732,-60.5238,Howard Johnson Plaza Hotel Mayorazgo
159,maneromango,TZ,86.0,-7.1988,38.7848,Hotels
164,manicore,BR,80.6,-5.8092,-61.3003,Hotel Durval
167,faanui,PF,82.53,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
169,tiarei,PF,77.0,-17.5333,-149.3333,Le Rocher de Tahiti
