City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,esperance,-33.8667,121.9,75.2,33,46,12.66,AU,2021-03-15 06:07:58
1,weyburn,49.6668,-103.8511,33.8,37,95,18.41,CA,2021-03-15 06:15:08
2,cape town,-33.9258,18.4232,62.01,94,90,17.27,ZA,2021-03-15 06:05:21
3,rio gallegos,-51.6226,-69.2181,48.2,87,0,5.75,AR,2021-03-15 06:09:12
4,cherskiy,68.75,161.3,-14.01,94,63,5.08,RU,2021-03-15 06:08:07
5,leh,34.1667,77.5833,29.86,47,21,3.91,IN,2021-03-15 06:15:39
6,souillac,-20.5167,57.5167,77.0,94,75,5.75,MU,2021-03-15 06:07:35
7,bubaque,11.2833,-15.8333,78.19,60,0,7.67,GW,2021-03-15 06:08:37
8,narsaq,60.9167,-46.05,39.2,45,75,52.93,GL,2021-03-15 06:10:04
9,corowa,-36.0333,146.3833,75.99,29,31,3.0,AU,2021-03-15 06:15:40
10,bredasdorp,-34.5322,20.0403,62.6,94,100,14.97,ZA,2021-03-15 06:07:40
11,southbridge,42.0751,-72.0334,21.99,35,57,14.52,US,2021-03-15 06:15:41
12,punta arenas,-53.15,-70.9167,48.2,93,90,2.3,CL,2021-03-15 06:08:03
13,mataura,-46.1927,168.8643,57.0,68,80,15.01,NZ,2021-03-15 06:07:30
14,kavieng,-2.5744,150.7967,81.66,81,94,10.38,PG,2021-03-15 06:07:37
15,ushuaia,-54.8,-68.3,50.0,71,75,1.14,AR,2021-03-15 06:07:39
16,isangel,-19.55,169.2667,79.12,78,82,6.04,VU,2021-03-15 06:08:36
17,avarua,-21.2078,-159.775,80.6,83,20,2.3,CK,2021-03-15 06:08:15
18,kahului,20.8947,-156.47,73.4,100,40,3.44,US,2021-03-15 06:13:28
19,kupang,-10.1667,123.5833,86.0,79,40,9.22,ID,2021-03-15 06:15:42
20,busselton,-33.65,115.3333,82.0,33,37,5.01,AU,2021-03-15 06:07:28
21,hobart,-42.8794,147.3294,71.01,34,0,19.57,AU,2021-03-15 06:07:21
22,charters towers,-20.1,146.2667,88.66,42,23,10.92,AU,2021-03-15 06:15:43
23,nikolskoye,59.7035,30.7861,32.0,93,75,4.47,RU,2021-03-15 06:07:54
24,novoagansk,61.9449,76.6625,22.17,92,100,11.12,RU,2021-03-15 06:15:44
25,bambous virieux,-20.3428,57.7575,77.0,94,75,5.75,MU,2021-03-15 06:07:58
26,barrow,71.2906,-156.7887,-7.6,71,90,14.97,US,2021-03-15 06:08:04
27,constitucion,-35.3333,-72.4167,55.4,88,93,1.54,CL,2021-03-15 06:07:23
28,vaini,-21.2,-175.2,77.0,94,75,2.3,TO,2021-03-15 06:07:29
29,asau,46.4333,26.4,42.01,61,100,3.69,RO,2021-03-15 06:10:11
30,mount barker,-35.0667,138.8667,66.99,76,100,6.17,AU,2021-03-15 06:15:45
31,gornopravdinsk,60.05,69.9,16.45,93,97,9.04,RU,2021-03-15 06:15:46
32,poddorye,57.4695,31.1156,34.34,96,100,11.16,RU,2021-03-15 06:15:47
33,new norfolk,-42.7826,147.0587,71.01,38,15,1.01,AU,2021-03-15 06:07:43
34,brownsville,25.9018,-97.4975,66.2,82,90,5.75,US,2021-03-15 06:15:47
35,rikitea,-23.1203,-134.9692,80.15,77,72,7.36,PF,2021-03-15 06:07:46
36,nouadhibou,20.931,-17.0347,64.09,68,0,17.63,MR,2021-03-15 06:11:11
37,margate,51.3813,1.3862,44.01,85,71,3.0,GB,2021-03-15 06:12:01
38,obihiro,42.9172,143.2044,50.0,57,20,4.61,JP,2021-03-15 06:15:48
39,chapais,49.7834,-74.8492,-11.2,70,1,9.22,CA,2021-03-15 06:08:47
40,te anau,-45.4167,167.7167,57.85,77,46,7.09,NZ,2021-03-15 06:15:41
41,qaanaaq,77.484,-69.3632,-8.5,63,99,6.64,GL,2021-03-15 06:07:36
42,grindavik,63.8424,-22.4338,39.2,93,90,16.11,IS,2021-03-15 06:13:47
43,azua,18.4532,-70.7349,45.0,65,2,4.23,DO,2021-03-15 06:15:49
44,laguna,38.421,-121.4238,48.0,93,90,11.5,US,2021-03-15 06:09:56
45,kruisfontein,-34.0033,24.7314,68.92,85,100,16.98,ZA,2021-03-15 06:13:40
46,puerto colombia,10.9878,-74.9547,77.0,88,0,17.27,CO,2021-03-15 06:14:35
47,yurgamysh,55.3714,64.4656,19.0,70,13,13.13,RU,2021-03-15 06:15:51
48,caravelas,-17.7125,-39.2481,72.64,87,1,2.84,BR,2021-03-15 06:14:58
49,garissa,-0.4536,39.6401,79.83,64,36,6.35,KE,2021-03-15 06:15:51
50,mandurah,-32.55,115.7,82.99,30,60,5.84,AU,2021-03-15 06:15:52
51,rawson,-43.3002,-65.1023,61.88,81,83,21.23,AR,2021-03-15 06:09:24
52,bengkulu,-3.8004,102.2655,85.71,65,18,6.22,ID,2021-03-15 06:08:34
53,helong,42.5397,128.9972,50.34,65,98,7.29,CN,2021-03-15 06:15:52
54,kaniama,-7.5667,24.1833,67.96,87,65,3.76,CD,2021-03-15 06:15:53
55,georgetown,5.4112,100.3354,91.4,58,20,5.75,MY,2021-03-15 06:07:59
56,castro,-24.7911,-50.0119,61.38,94,30,2.64,BR,2021-03-15 06:08:57
57,ushibuka,32.1906,130.0228,57.61,56,96,5.57,JP,2021-03-15 06:15:54
58,saint-augustin,51.226,-58.6502,-1.57,83,98,14.47,CA,2021-03-15 06:13:18
59,jiangyou,31.7667,104.7167,76.05,48,0,3.29,CN,2021-03-15 06:15:55
60,hilo,19.7297,-155.09,71.6,83,90,4.61,US,2021-03-15 06:05:23
61,mehamn,71.0357,27.8492,30.2,86,90,19.57,NO,2021-03-15 06:09:35
62,normandin,48.8333,-72.5321,-2.2,59,100,17.27,CA,2021-03-15 06:15:56
63,broome,42.2506,-75.833,21.0,53,20,17.27,US,2021-03-15 06:09:50
64,tasiilaq,65.6145,-37.6368,26.6,59,75,39.12,GL,2021-03-15 06:13:10
65,thompson,55.7435,-97.8558,26.6,46,75,6.91,CA,2021-03-15 06:07:50
66,batabano,22.7164,-82.2881,66.2,94,1,4.61,CU,2021-03-15 06:15:57
67,robore,-18.3333,-59.75,71.62,93,100,1.97,BO,2021-03-15 06:15:58
68,poum,-20.2333,164.0167,80.28,69,27,5.5,NC,2021-03-15 06:13:19
69,mackenzie,55.2999,-123.1698,17.6,93,1,4.61,CA,2021-03-15 06:15:01
70,tamandare,-8.7597,-35.1047,76.32,77,100,4.43,BR,2021-03-15 06:15:58
71,ambilobe,-13.2,49.05,83.93,77,24,1.99,MG,2021-03-15 06:09:48
72,yellowknife,62.456,-114.3525,5.0,78,90,8.05,CA,2021-03-15 06:08:01
73,mount isa,-20.7333,139.5,86.0,48,40,11.5,AU,2021-03-15 06:10:35
74,chokurdakh,70.6333,147.9167,-14.33,92,0,5.99,RU,2021-03-15 06:07:59
75,tual,-5.6667,132.75,83.77,68,94,5.75,ID,2021-03-15 06:16:00
76,albany,42.6001,-73.9662,21.0,29,19,4.0,US,2021-03-15 06:07:27
77,piney green,34.716,-77.3202,60.8,27,1,11.5,US,2021-03-15 06:16:00
78,wenzhou,27.9994,120.6668,78.01,21,1,8.37,CN,2021-03-15 06:16:01
79,norman wells,65.282,-126.8329,-9.4,77,75,8.05,CA,2021-03-15 06:15:37
