City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,khatanga,71.9667,102.5,-19.19,90,100,11.97,RU,2021-03-15 06:13:16
1,ustka,54.5805,16.8619,37.6,94,100,12.75,PL,2021-03-15 06:17:08
2,talnakh,69.4865,88.3972,-20.83,84,34,2.46,RU,2021-03-15 06:13:11
3,sarahan,31.5167,77.8,61.39,29,0,0.4,IN,2021-03-15 06:18:51
4,tuatapere,-46.1333,167.6833,57.0,65,73,17.0,NZ,2021-03-15 06:16:03
5,hilo,19.7297,-155.09,71.6,83,90,4.61,US,2021-03-15 06:18:33
6,muromtsevo,56.3724,75.2418,12.15,96,100,7.67,RU,2021-03-15 06:18:52
7,tuktoyaktuk,69.4541,-133.0374,-9.4,77,90,11.5,CA,2021-03-15 06:18:53
8,qaqortoq,60.7167,-46.0333,37.4,52,75,57.53,GL,2021-03-15 06:18:53
9,lasa,46.6166,10.7002,32.0,100,90,3.44,IT,2021-03-15 06:15:27
10,ancud,-41.8697,-73.8203,53.01,93,90,3.44,CL,2021-03-15 06:18:54
11,victoria,22.2855,114.1577,78.8,57,20,8.05,HK,2021-03-15 06:15:32
12,vostok,46.4856,135.8833,48.56,72,0,2.46,RU,2021-03-15 06:18:55
13,hereford,52.0568,-2.7148,45.0,90,92,9.22,GB,2021-03-15 06:18:56
14,nanortalik,60.1432,-45.2371,29.8,83,100,3.71,GL,2021-03-15 06:09:12
15,port hardy,50.6996,-127.4199,39.2,86,40,5.75,CA,2021-03-15 06:15:03
16,cherskiy,68.75,161.3,-14.04,94,88,4.72,RU,2021-03-15 06:18:27
17,ambon,-3.6954,128.1814,89.6,66,20,5.75,ID,2021-03-15 06:18:57
18,bambous virieux,-20.3428,57.7575,77.0,94,75,6.91,MU,2021-03-15 06:18:58
19,gusau,12.1628,6.6614,70.63,23,38,2.98,NG,2021-03-15 06:18:58
20,east london,-33.0153,27.9116,75.2,83,0,8.05,ZA,2021-03-15 06:12:43
21,vila velha,-20.3297,-40.2925,75.2,88,40,3.44,BR,2021-03-15 06:18:59
22,kapit,2.0167,112.9333,95.45,40,51,3.24,MY,2021-03-15 06:18:59
23,cape town,-33.9258,18.4232,62.01,94,90,18.41,ZA,2021-03-15 06:18:10
